Имя объекта	Тип объекта	Содержание	Коментарий
object1	IP адрес	1.1.1.1	
Pechkin	Ip адрес	10.5.139.66	
Mailhost	Ip адрес	10.250.3.4	
VipNet1	Ip адрес	10.5.139.226	
VipNet2	Ip адрес	10.5.139.240	
DNS1_Gazsvyaz	Ip адрес	10.250.3.2	
DNS2_Gazsvyaz	Ip адрес	10.250.3.3	
MailRelay	Ip адрес	10.250.4.10	
MailRelay2	Ip адрес	10.250.4.13	
Gazprombank	Ip адрес	195.128.88.29	
Transkreditbank	Ip адрес	195.161.5.4	
Mailrelay3	Ip адрес	10.250.4.45	
Proxy_Temporary	Ip адрес	10.5.168.3	
Proxy_TMG_Server	Ip адрес	10.5.139.201	
KAV_Server	Ip адрес	10.5.169.107	
MOS_NTP_SERVER	Ip адрес	10.5.169.194	
Kornienko_computer	Ip адрес	10.5.168.144	
Kalinin_computer	Ip адрес	10.5.168.6	
Pechkin_SMTP_Server	Ip адрес	10.5.168.251	
GNIVC_Client	Ip адрес	10.5.169.236	
Surgut_Electonnoe_declarirovanie_server	Ip адрес	87.229.154.41	
Egorova_Bank_Client	Ip адрес	10.5.168.64	
Astrakhan_WSUS_Server	Ip адрес	10.7.233.12	
Rancid_user	Ip адрес	10.5.168.131	
Zabbix_Server	Ip адрес	10.5.169.20	
PROTON	Ip адрес	10.5.169.212	
Mailhost1	Ip адрес	10.250.3.22	
Mailhost2	Ip адрес	10.250.3.23	
Mailrelay4	Ip адрес	10.250.4.18	
WSUS_Server	Ip адрес	10.5.169.171	
mos-wsus-2k12	Ip адрес	10.13.129.5	
ns	Ip адрес	10.5.139.202	
post	Ip адрес	10.5.139.200	
inside	Ip адрес	10.13.129.251	
Test_DMZ_Host	Ip адрес	10.5.139.203	
HW1000-1	Ip адрес	10.5.139.227	
HW1000-2	Ip адрес	10.5.139.228	
HW1000-Cluster	Ip адрес	10.5.139.229	
VipNet_Administrator_New	Ip адрес	10.13.131.179	
Urengoy_Firewall	Ip адрес	10.7.240.6	
Urengoy_Router	Ip адрес	10.7.240.1	
Urengoy_S-Terra_1	Ip адрес	10.7.240.129	
Surgut_Firewall	Ip адрес	10.7.236.126	
Surgut_Router	Ip адрес	10.7.236.125	
Surgut_S-Terra_OGP	Ip адрес	10.7.237.65	
Surgut_S-Terra_Office	Ip адрес	10.7.237.1	
Surgut_S-Terra_Prom	Ip адрес	10.7.236.134	
Surgut_S-Terra_SNE	Ip адрес	10.7.236.138	
Surgut_Switch	Ip адрес	10.7.236.130	
Astrakhan_Firewall	Ip адрес	10.7.233.1	
Astrakhan_Router	Ip адрес	10.7.232.125	
Astrakhan_S-Terra	Ip адрес	10.7.232.94	
Uhta_Firewall	Ip адрес	10.7.235.6	
Uhta_Router	Ip адрес	10.7.235.1	
Uhta_S-Terra_1	Ip адрес	10.7.235.129	
Uhta_S-Terra_2	Ip адрес	10.7.235.193	
Krasnodar_Firewall	Ip адрес	10.7.239.14	
Krasnodar_Router	Ip адрес	10.7.239.1	
Krasnodar_S-Terra	Ip адрес	10.7.239.6	
PolovnikovaYA	Ip адрес	10.5.169.22	
PodolskayaOS	Ip адрес	10.5.168.69	
TrishinaNV	Ip адрес	10.5.168.247	
BobkovaEV(standalone)	Ip адрес	10.13.128.240	
SavinovaNY(standalone)	Ip адрес	10.13.129.100	
OrlovIA	Ip адрес	10.13.129.228	
ASUP_PD-Farm	Ip адрес	10.56.194.9	Ferma_ASUP_for_PH4_wi-pdn.ctx.codm.gazprom.ru
ASUP_PD-Farm2	Ip адрес	10.56.194.10	Ferma_ASUP_for_PH4_sg-pdn.ctx.codm.gazprom.ru
